file,recall,precision,F1-score,storage,time
rspt-10.0.210.32.csv,0.627027027,0.502394977,0.491083958,407744,258.1334209
sucp-10.0.210.32.csv,0.048,0.030796273,0.03750228,407744,225.6248911
tps-10.0.210.32.csv,0.923076923,0.62422286,0.72924484,407744,158.2477271
