times,recall,precision,F1-score,storage,time
0,0.07720588235294118,0.058333333333333334,0.06645569620253164,407744.0,311.0313997268677
1,0.06985294117647059,0.03885480572597137,0.049934296977660976,407744.0,309.9867706298828
2,0.029411764705882353,0.021917808219178082,0.02511773940345369,407744.0,311.3930506706238
3,0.011029411764705883,0.006993006993006993,0.008559201141226817,407744.0,311.4587779045105
4,0.022058823529411766,0.014778325123152709,0.017699115044247787,407744.0,307.44384503364563
