file,recall,precision,F1-score,storage,time
rplp-10.0.210.33.csv,0.2704225352112676,0.8678431372549019,0.40588936167419876,407744.0,327.95225377082824
rplp-10.0.210.34.csv,0.6509803921568628,0.5548035843725498,0.5726681472199646,407744.0,362.81530652046206
rplp-10.0.210.35.csv,0.9315068493150684,0.4263070216087187,0.5761111194514934,407744.0,366.97447056770324
rplp-10.0.210.36.csv,0.3284403669724771,0.5614630064336638,0.4023316657944445,407744.0,364.1791769504547
rspt-10.0.210.33.csv,0.6055555555555555,0.44191204383182114,0.4847320946165329,407744.0,381.2373623371124
rspt-10.0.210.34.csv,0.5297297297297298,0.4906433637284701,0.5025574765509433,407744.0,393.75905833244326
rspt-10.0.210.35.csv,0.22758620689655173,0.6645484949832776,0.3061282223254054,407744.0,391.8008222103119
rspt-10.0.210.36.csv,0.5275862068965518,0.3669835752608538,0.4304987656474015,407744.0,391.94852871894835
sucp-10.0.210.33.csv,0.04261168384879725,0.16724321266968328,0.06731026751303426,407744.0,412.8571412563324
sucp-10.0.210.34.csv,0.08529411764705883,0.2980947607685741,0.1314192208452939,407744.0,416.65252714157106
sucp-10.0.210.35.csv,0.07124183006535947,0.2867074614669475,0.11261150037846432,407744.0,416.5811832904816
sucp-10.0.210.36.csv,0.07984496124031008,0.2485972489670492,0.11971955273575856,407744.0,422.7662175655365
tps-10.0.210.33.csv,1.0,1.0,1.0,407744.0,304.4030919075012
tps-10.0.210.34.csv,1.0,1.0,1.0,407744.0,269.06512155532835
tps-10.0.210.35.csv,0.6666666666666666,0.5333333333333333,0.5904761904761905,407744.0,234.16030797958373
tps-10.0.210.36.csv,0.7714285714285714,0.4089986299663718,0.527749766573296,407744.0,210.9070345401764
