times,recall,precision,F1-score,storage,time
0,0.03875968992248062,0.03048780487804878,0.034129692832764506,407744.0,313.9986836910248
1,0.04263565891472868,0.027777777777777776,0.03363914373088685,407744.0,310.30787348747253
2,0.01937984496124031,0.012254901960784314,0.015015015015015015,407744.0,314.08618450164795
3,0.01937984496124031,0.017857142857142856,0.018587360594795536,407744.0,313.1227676868439
4,0.015503875968992248,0.011396011396011397,0.013136288998357965,407744.0,317.543119430542
