times,recall,precision,F1-score,storage,time
0,1.0,1.0,1.0,407744.0,227.64865350723267
1,1.0,1.0,1.0,407744.0,228.69624733924866
2,1.0,1.0,1.0,407744.0,197.67018818855286
3,1.0,1.0,1.0,407744.0,201.36990785598755
4,1.0,1.0,1.0,407744.0,200.1275987625122
